Feature,Selection_Frequency,Mean_VIP,Std_VIP,Stable
33_LAC_0.0 : Conc. (nM),1.0,2.281294152433262,0.5308420202196015,True
48_SUCC_0.0 : Conc. (nM),1.0,2.280437112659813,0.2152894834783174,True
19_F16DP_0.0 : Conc. (nM),1.0,1.6494017571793842,0.5281693064161168,True
DHAP_0.0 : Conc. (nM),0.96,1.0390553310529391,0.23675879060033747,True
13_ATP_0.0 : Conc. (nM),0.89,2.084321460664378,0.7893150964916188,True
44_R5P_0.0 : Conc. (nM),0.76,0.7682754040261811,0.43923457095784674,False
21_FUM_0.0 : Conc. (nM),0.74,1.9976164104593488,1.2261574755384614,False
54_UTP0.0 : Conc. (nM),0.73,1.3769602105574053,0.8518497711499271,False
15_CMP 0.0 : Conc. (nM),0.66,0.6788295958034318,0.49361009068610623,False
11_AMP 0.0 : Conc. (nM),0.55,0.692867806574029,0.7107245919365192,False
32_KGA_0.0 : Conc. (nM),0.37,0.6766825426426558,0.9264641818634703,False
10_ADP 0.0 : Conc. (nM),0.21,0.39273908647656247,0.7624988316877027,False
47_SHIK 0.0 : Conc. (nM),0.19,0.1734101123324957,0.35947394978750186,False
28_GMP 0.0 : Conc. (nM),0.07,0.12489359881732368,0.4563279273503744,False
6_6PG_0.0 : Conc. (nM),0.04,0.03662023438154228,0.17970657346162258,False
SH7P 0.0 : Conc. (nM),0.02,0.0378750344722564,0.2654891473890683,False
8_ACoA_0.0 : Conc. (nM),0.01,0.018860461798160918,0.1876592254719944,False
49_UDP 0.0 : Conc. (nM),0.0,0.0,0.0,False
53_UMP 0.0 : Conc. (nM),0.0,0.0,0.0,False
55_X5P_0.0 : Conc. (nM),0.0,0.0,0.0,False
35_NAD 0.0 : Conc. (nM),0.0,0.0,0.0,False
45_RL5P_0.0 : Conc. (nM),0.0,0.0,0.0,False
4_3DHSA 0.0 : Conc. (nM),0.0,0.0,0.0,False
CoA Neg 0.0 : Conc. (nM),0.0,0.0,0.0,False
51_UDPGA 0.0 : Conc. (nM),0.0,0.0,0.0,False
22_G1P_0.0 : Conc. (nM),0.0,0.0,0.0,False
20_F6P_0.0 : Conc. (nM),0.0,0.0,0.0,False
57_G3P_0.0 : Conc. (nM),0.0,0.0,0.0,False
23_G6P_0.0 : Conc. (nM),0.0,0.0,0.0,False
34_MAL_0.0 : Conc. (nM),0.0,0.0,0.0,False
2_3PG_0.0 : Conc. (nM),0.0,0.0,0.0,False
31_CIT_0.0 : Conc. (nM),0.0,0.0,0.0,False
30_ISO_0.0 : Conc. (nM),0.0,0.0,0.0,False
